participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P7782,1,30,300,left,857,430.3318996602607,0
P7782,2,30,300,left,754,514.0284266906652,0
P7782,3,60,200,left,527,367.36921006138687,0
P7782,4,60,200,right,677,482.5838382271717,1
P7782,5,30,100,left,538,117.9363838306611,0
P7782,6,30,300,right,899,360.58233019112305,0
P7782,7,30,100,right,566,136.1194847211144,0
P7782,8,30,100,left,629,95.13559782286805,0
P7782,9,90,100,left,553,147.40803474634967,0
P7782,10,60,200,right,670,201.55697088936054,0
P7782,11,90,200,left,509,156.57832126599587,0
P7782,12,60,100,left,492,187.78291264051526,0
P7782,13,90,200,right,449,202.0882779793209,0
P7782,14,60,300,right,642,282.2496762423832,0
P7782,15,90,300,right,530,301.02407056268004,0
P7782,16,30,100,left,495,113.06255811269507,0
P7782,17,90,300,left,524,333.95918540447144,0
P7782,18,60,300,left,573,370.3645362348699,0
P7782,19,90,300,right,838,542.6880151845863,0
P7782,20,90,100,left,382,104.89141784636227,0
P7782,21,60,300,left,615,345.37197193859475,0
P7782,22,30,200,right,718,206.8538582187245,0
P7782,23,60,100,right,520,174.0208243832545,0
P7782,24,30,200,right,837,354.73875934967185,0
P7782,25,90,300,right,580,327.9236599260264,0
P7782,26,60,300,left,601,330.51955013033404,0
P7782,27,90,100,right,440,117.07699392645064,0
P7782,28,30,200,left,941,243.1250618447432,1
P7782,29,90,300,left,578,321.21673009877196,0
P7782,30,60,200,left,559,268.73948983082084,0
P7782,31,30,200,left,1256,258.2946516068587,2
P7782,32,60,300,right,853,331.16867994386047,0
P7782,33,90,300,left,745,293.8213523558609,0
P7782,34,90,200,left,754,381.7056147619104,1
P7782,35,30,200,left,701,415.93059462048245,0
P7782,36,30,100,right,546,112.88411297771398,0
P7782,37,60,200,right,581,315.49375861495093,0
P7782,38,30,100,left,663,200.46849560614265,0
P7782,39,90,200,right,573,220.82232461479694,0
P7782,40,90,300,right,594,266.9290893367812,0
P7782,41,60,100,left,492,96.83940606368935,0
P7782,42,60,100,right,805,153.56379019881402,1
P7782,43,60,100,right,515,123.70011947230364,0
P7782,44,60,200,left,696,275.43230599731857,1
P7782,45,60,100,right,605,288.3437159271187,0
P7782,46,30,300,right,753,354.2635200077684,0
P7782,47,60,100,left,506,79.69019652550838,0
P7782,48,30,300,right,1092,524.7883803045837,0
P7782,49,30,100,left,675,102.67962814446058,0
P7782,50,60,300,right,731,302.8219495080934,0
P7782,51,30,200,right,933,264.14842271016664,0
P7782,52,60,300,right,801,334.20928898664243,0
P7782,53,60,200,right,600,296.38280724050423,0
P7782,54,30,100,right,772,139.7149312915351,0
